Acct,Vendor,Material,Material_Description,Image,ImageNum
237,Saroj Fabrics,Brocade,Golden Yellow silk broacade with Fuschia pink bhutta,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.42.43PM_9.jpg?v=1615139487,1
,,,,,
238,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.42.43PM_8.jpg?v=1615139487,2
,,,,,
239,Saroj Fabrics,Brocade,Purple with golden zari brocade with green bhutta,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.42.43PM_3.jpg?v=1615139383,1
,,,,,
240,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.42.43PM_2.jpg?v=1615139383,2
,,,,,
241,Saroj Fabrics,Brocade,Candy pink silk brocade with big Zari Bhutta,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.46.48PM.jpg?v=1615139336,1
,,,,,
242,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.46.47PM_24.jpg?v=1615139336,2
,,,,,
243,Saroj Fabrics,Brocade,Mint Green with Zari brocade,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.12PM_7.jpg?v=1615139250,1
,,,,,
244,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.44.12PM_6.jpg?v=1615139250,2
,,,,,
247,Saroj Fabrics,Brocade,Sunshine Yellow with golden zari brocade,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.42.43PM_18.jpg?v=1614747030,1
,,,,,
248,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.42.43PM_17.jpg?v=1614747030,2
,,,,,
249,Saroj Fabrics,Brocade,Golden Yellow with mutted and bright zari Flower motif ,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.47.27PM_2.jpg?v=1614746791,1
,,,,,
250,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.47.27PM_1.jpg?v=1614746791,2
,,,,,
251,Saroj Fabrics,Brocade,Purple with muted and bright zari flower motif,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_14.jpg?v=1614746711,1
,,,,,
252,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_13.jpg?v=1614746711,2
,,,,,
253,Saroj Fabrics,Brocade,Green seagreen with muted and bright Zari flower motif,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2021-02-27at12.49.30PM_20.jpg?v=1614746649,1
,,,,,
